Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,000428	-2,22353	0,000428	-1,5908	0,000428	-0,0584195
0,00043	-2,22772	0,00043	-1,59193	0,00043	-0,0605125
0,000432	-2,22884	0,000432	-1,5929	0,000432	-0,0574536
0,000434	-2,22884	0,000434	-1,59386	0,000434	-0,0603515
0,000436	-2,22562	0,000436	-1,59435	0,000436	-0,0605125
0,000438	-2,2224	0,000438	-1,59499	0,000438	-0,0580976
0,00044	-2,22659	0,00044	-1,59579	0,00044	-0,0616395
0,000442	-2,22256	0,000442	-1,59692	0,000442	-0,0592245
0,000444	-2,22498	0,000444	-1,5974	0,000444	-0,0619615
0,000446	-2,22643	0,000446	-1,59821	0,000446	-0,0584195
0,000448	-2,22353	0,000448	-1,59869	0,000448	-0,0595465
0,00045	-2,22321	0,00045	-1,5995	0,00045	-0,0584195
0,000452	-2,22305	0,000452	-1,6003	0,000452	-0,0577756
0,000454	-2,22675	0,000454	-1,60095	0,000454	-0,0577756
0,000456	-2,22305	0,000456	-1,60191	0,000456	-0,0613175
0,000458	-2,22353	0,000458	-1,60223	0,000458	-0,0584195
0,00046	-2,22466	0,00046	-1,60368	0,00046	-0,0614785
0,000462	-2,22224	0,000462	-1,60417	0,000462	-0,0582586
0,000464	-2,22305	0,000464	-1,60465	0,000464	-0,0569706
0,000466	-2,22434	0,000466	-1,60529	0,000466	-0,0608345
0,000468	-2,22498	0,000468	-1,60545	0,000468	-0,0584195
0,00047	-2,22482	0,00047	-1,60594	0,00047	-0,0597075
0,000472	-2,21951	0,000472	-1,6069	0,000472	-0,0571316
0,000474	-2,22031	0,000474	-1,60739	0,000474	-0,0598685
0,000476	-2,2224	0,000476	-1,60787	0,000476	-0,0582586
0,000478	-2,22095	0,000478	-1,60851	0,000478	-0,0595465
0,00048	-2,22385	0,00048	-1,60884	0,00048	-0,0595465
0,000482	-2,22321	0,000482	-1,6098	0,000482	-0,0593855
0,000484	-2,21951	0,000484	-1,60996	0,000484	-0,0603515
0,000486	-2,22273	0,000486	-1,61061	0,000486	-0,0585805
0,000488	-2,22273	0,000488	-1,61109	0,000488	-0,0603515
0,00049	-2,22289	0,00049	-1,61157	0,00049	-0,0587415
0,000492	-2,22047	0,000492	-1,61222	0,000492	-0,0601905
0,000494	-2,22385	0,000494	-1,6127	0,000494	-0,0609955
0,000496	-2,22401	0,000496	-1,61286	0,000496	-0,0619615
0,000498	-2,22578	0,000498	-1,61383	0,000498	-0,0598685
0,0005	-2,22176	0,0005	-1,61383	0,0005	-0,0611565
0,000502	-2,22337	0,000502	-1,61479	0,000502	-0,0603515
0,000504	-2,22482	0,000504	-1,61463	0,000504	-0,0585805
0,000506	-2,22144	0,000506	-1,61495	0,000506	-0,0626055
0,000508	-2,22337	0,000508	-1,61576	0,000508	-0,0595465
0,00051	-2,22256	0,00051	-1,61592	0,00051	-0,0582586
0,000512	-2,22321	0,000512	-1,61656	0,000512	-0,0595465
0,000514	-2,2224	0,000514	-1,61656	0,000514	-0,0603515
0,000516	-2,22095	0,000516	-1,61721	0,000516	-0,0587415
0,000518	-2,22128	0,000518	-1,61769	0,000518	-0,0613175
0,00052	-2,22353	0,00052	-1,61785	0,00052	-0,0597075
0,000522	-2,22305	0,000522	-1,61866	0,000522	-0,0598685
0,000524	-2,22112	0,000524	-1,61898	0,000524	-0,0609955
0,000526	-2,21951	0,000526	-1,6193	0,000526	-0,0614785
0,000528	-2,22256	0,000528	-1,61962	0,000528	-0,0608345
0,00053	-2,21886	0,00053	-1,61946	0,00053	-0,0629275
0,000532	-2,22112	0,000532	-1,61994	0,000532	-0,0632495
0,000534	-2,22401	0,000534	-1,62043	0,000534	-0,0605125
0,000536	-2,22144	0,000536	-1,62075	0,000536	-0,0613175
0,000538	-2,22095	0,000538	-1,62139	0,000538	-0,0621225
0,00054	-2,22112	0,00054	-1,62123	0,00054	-0,0585805
0,000542	-2,22063	0,000542	-1,62188	0,000542	-0,0595465
0,000544	-2,22015	0,000544	-1,62172	0,000544	-0,0587415
0,000546	-2,22112	0,000546	-1,62236	0,000546	-0,0606735
0,000548	-2,22337	0,000548	-1,6222	0,000548	-0,0589025
0,00055	-2,22305	0,00055	-1,62333	0,00055	-0,0622835
0,000552	-2,21983	0,000552	-1,623	0,000552	-0,0664695
0,000554	-2,2224	0,000554	-1,62349	0,000554	-0,0611565
0,000556	-2,2216	0,000556	-1,62413	0,000556	-0,0603515
0,000558	-2,22192	0,000558	-1,62413	0,000558	-0,0613175
0,00056	-2,22128	0,00056	-1,62429	0,00056	-0,0627665
0,000562	-2,21902	0,000562	-1,62461	0,000562	-0,0597075
0,000564	-2,22273	0,000564	-1,62477	0,000564	-0,0616395
0,000566	-2,22417	0,000566	-1,62526	0,000566	-0,0572926
0,000568	-2,22224	0,000568	-1,62526	0,000568	-0,0609955
0,00057	-2,22256	0,00057	-1,62526	0,00057	-0,0595465
0,000572	-2,21983	0,000572	-1,62558	0,000572	-0,0613175
0,000574	-2,22079	0,000574	-1,62622	0,000574	-0,0587415
0,000576	-2,22015	0,000576	-1,62622	0,000576	-0,0614785
0,000578	-2,22063	0,000578	-1,62638	0,000578	-0,0619615
0,00058	-2,22224	0,00058	-1,62671	0,00058	-0,0589025
0,000582	-2,22256	0,000582	-1,62687	0,000582	-0,0634105
0,000584	-2,22063	0,000584	-1,62687	0,000584	-0,0605125
0,000586	-2,21902	0,000586	-1,62719	0,000586	-0,0624445
0,000588	-2,21918	0,000588	-1,62751	0,000588	-0,0579366
0,00059	-2,22047	0,00059	-1,62783	0,00059	-0,0605125
0,000592	-2,22112	0,000592	-1,62735	0,000592	-0,0621225
0,000594	-2,22047	0,000594	-1,62783	0,000594	-0,0569706
0,000596	-2,21806	0,000596	-1,62767	0,000596	-0,0624445
0,000598	-2,21934	0,000598	-1,62816	0,000598	-0,0624445
0,0006	-2,22047	0,0006	-1,62896	0,0006	-0,0622835
0,000602	-2,22208	0,000602	-1,62864	0,000602	-0,0613175
0,000604	-2,21934	0,000604	-1,62912	0,000604	-0,0618005
0,000606	-2,22063	0,000606	-1,62928	0,000606	-0,0609955
0,000608	-2,22095	0,000608	-1,62928	0,000608	-0,0590635
0,00061	-2,21838	0,00061	-1,62944	0,00061	-0,0616395
0,000612	-2,21999	0,000612	-1,6288	0,000612	-0,0603515
0,000614	-2,21693	0,000614	-1,6296	0,000614	-0,0621225
0,000616	-2,2224	0,000616	-1,62977	0,000616	-0,0609955
0,000618	-2,21677	0,000618	-1,63009	0,000618	-0,0595465
0,00062	-2,22063	0,00062	-1,63025	0,00062	-0,0634105
0,000622	-2,21725	0,000622	-1,63009	0,000622	-0,0609955
0,000624	-2,2179	0,000624	-1,63041	0,000624	-0,0630885
0,000626	-2,21967	0,000626	-1,63025	0,000626	-0,0600295
0,000628	-2,21757	0,000628	-1,63057	0,000628	-0,0634105
0,00063	-2,22015	0,00063	-1,63073	0,00063	-0,0643765
0,000632	-2,21902	0,000632	-1,63089	0,000632	-0,0614785
0,000634	-2,21709	0,000634	-1,63121	0,000634	-0,0629275
0,000636	-2,21951	0,000636	-1,63105	0,000636	-0,0593855
0,000638	-2,22015	0,000638	-1,63138	0,000638	-0,0606735
0,00064	-2,22047	0,00064	-1,63121	0,00064	-0,0613175
0,000642	-2,21822	0,000642	-1,63154	0,000642	-0,0585805
0,000644	-2,21886	0,000644	-1,63138	0,000644	-0,0624445
0,000646	-2,22112	0,000646	-1,63186	0,000646	-0,0595465
0,000648	-2,21951	0,000648	-1,63186	0,000648	-0,0597075
0,00065	-2,21934	0,00065	-1,63218	0,00065	-0,0580976
0,000652	-2,21773	0,000652	-1,63218	0,000652	-0,0621225
0,000654	-2,21999	0,000654	-1,63186	0,000654	-0,0621225
0,000656	-2,21967	0,000656	-1,63202	0,000656	-0,0618005
0,000658	-2,21806	0,000658	-1,63218	0,000658	-0,0587415
0,00066	-2,21596	0,00066	-1,63202	0,00066	-0,0626055
0,000662	-2,21886	0,000662	-1,63282	0,000662	-0,0637325
0,000664	-2,21741	0,000664	-1,6325	0,000664	-0,0611565
0,000666	-2,2187	0,000666	-1,63266	0,000666	-0,0585805
0,000668	-2,22031	0,000668	-1,63282	0,000668	-0,0608345
0,00067	-2,21838	0,00067	-1,63315	0,00067	-0,0619615
0,000672	-2,21403	0,000672	-1,6325	0,000672	-0,0603515
0,000674	-2,21886	0,000674	-1,63282	0,000674	-0,0601905
0,000676	-2,2179	0,000676	-1,63299	0,000676	-0,0629275
0,000678	-2,21757	0,000678	-1,63331	0,000678	-0,0622835
0,00068	-2,21838	0,00068	-1,63299	0,00068	-0,0630885
0,000682	-2,21918	0,000682	-1,63379	0,000682	-0,0595465
0,000684	-2,2187	0,000684	-1,63331	0,000684	-0,0608345
0,000686	-2,21773	0,000686	-1,63331	0,000686	-0,0613175
0,000688	-2,21886	0,000688	-1,63379	0,000688	-0,0608345
0,00069	-2,21661	0,00069	-1,63363	0,00069	-0,0613175
0,000692	-2,21886	0,000692	-1,63379	0,000692	-0,0618005
0,000694	-2,22031	0,000694	-1,63427	0,000694	-0,0653425
0,000696	-2,21677	0,000696	-1,63443	0,000696	-0,0621225
0,000698	-2,2216	0,000698	-1,63411	0,000698	-0,0601905
0,0007	-2,21983	0,0007	-1,63379	0,0007	-0,0582586
0,000702	-2,21854	0,000702	-1,6346	0,000702	-0,0614785
0,000704	-2,21983	0,000704	-1,63411	0,000704	-0,0611565
0,000706	-2,21951	0,000706	-1,6346	0,000706	-0,0603515
0,000708	-2,2158	0,000708	-1,63427	0,000708	-0,0619615
0,00071	-2,21886	0,00071	-1,63443	0,00071	-0,0609955
0,000712	-2,21854	0,000712	-1,6346	0,000712	-0,0637325
0,000714	-2,21967	0,000714	-1,6346	0,000714	-0,0614785
0,000716	-2,22128	0,000716	-1,6346	0,000716	-0,0608345
0,000718	-2,21999	0,000718	-1,6346	0,000718	-0,0640545
0,00072	-2,21806	0,00072	-1,63492	0,00072	-0,0614785
0,000722	-2,21822	0,000722	-1,63443	0,000722	-0,0613175
0,000724	-2,21757	0,000724	-1,6354	0,000724	-0,0627665
0,000726	-2,21854	0,000726	-1,63524	0,000726	-0,0637325
0,000728	-2,21983	0,000728	-1,63492	0,000728	-0,0634105
0,00073	-2,21886	0,00073	-1,63492	0,00073	-0,0590635
0,000732	-2,2187	0,000732	-1,63476	0,000732	-0,0645375
0,000734	-2,21757	0,000734	-1,63524	0,000734	-0,0608345
0,000736	-2,21451	0,000736	-1,63508	0,000736	-0,0619615
0,000738	-2,21854	0,000738	-1,63556	0,000738	-0,0606735
0,00074	-2,22434	0,00074	-1,6354	0,00074	-0,0632495
0,000742	-2,21773	0,000742	-1,63524	0,000742	-0,0600295
0,000744	-2,21902	0,000744	-1,63556	0,000744	-0,0600295
