Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0,00654	1,8448	0,00654	1,28101	0,00654	-0,00815679
0,00656	1,86315	0,00656	1,29372	0,00656	-0,00300659
0,00658	1,87329	0,00658	1,30596	0,00658	-0,00300659
0,0066	1,89341	0,0066	1,31803	0,0066	-0,00397225
0,00662	1,90741	0,00662	1,3301	0,00662	-0,00348942
0,00664	1,92335	0,00664	1,34185	0,00664	-0,00493791
0,00666	1,93815	0,00666	1,35311	0,00666	-0,00477697
0,00668	1,94475	0,00668	1,36454	0,00668	-0,00155809
0,0067	1,96423	0,0067	1,37565	0,0067	-0,00220187
0,00672	1,9763	0,00672	1,38611	0,00672	0,000212293
0,00674	1,98821	0,00674	1,39705	0,00674	-0,00316753
0,00676	1,9998	0,00676	1,40751	0,00676	-0,00155809
0,00678	2,01331	0,00678	1,41765	0,00678	-0,00397225
0,0068	2,027	0,0068	1,42763	0,0068	-0,00493791
0,00682	2,03891	0,00682	1,43777	0,00682	-0,00139715
0,00684	2,05049	0,00684	1,44727	0,00684	-0,00542074
0,00686	2,06353	0,00686	1,45628	0,00686	-0,00429414
0,00688	2,07174	0,00688	1,46561	0,00688	-0,00155809
0,0069	2,07818	0,0069	1,47398	0,0069	-0,00236281
0,00692	2,09298	0,00692	1,48235	0,00692	-0,000592427
0,00694	2,10071	0,00694	1,4912	0,00694	-0,00220187
0,00696	2,10988	0,00696	1,49893	0,00696	0,00230456
0,00698	2,12051	0,00698	1,50698	0,00698	0,00149984
0,007	2,12694	0,007	1,51454	0,007	-0,00300659
0,00702	2,13612	0,00702	1,52211	0,00702	-0,000270539
0,00704	2,14143	0,00704	1,52854	0,00704	-0,00139715
0,00706	2,15141	0,00706	1,53595	0,00706	0,000534181
0,00708	2,15978	0,00708	1,54222	0,00708	-0,00397225
0,0071	2,16493	0,0071	1,54866	0,0071	-0,00381131
0,00712	2,17394	0,00712	1,55478	0,00712	-0,00397225
0,00714	2,18215	0,00714	1,56106	0,00714	0,00246551
0,00716	2,18392	0,00716	1,56685	0,00716	0,003914
0,00718	2,19148	0,00718	1,572	0,00718	-0,00220187
0,0072	2,19647	0,0072	1,57683	0,0072	-0,00493791
0,00722	2,2005	0,00722	1,58198	0,00722	-0,000431483
0,00724	2,20194	0,00724	1,58648	0,00724	5,13E-05
0,00726	2,20903	0,00726	1,59099	0,00726	-0,00397225
0,00728	2,21225	0,00728	1,59501	0,00728	-0,00139715
0,0073	2,21756	0,0073	1,59904	0,0073	-0,00429414
0,00732	2,22045	0,00732	1,60242	0,00732	-0,00204092
0,00734	2,2182	0,00734	1,60564	0,00734	-0,00686924
0,00736	2,23027	0,00736	1,60902	0,00736	0,00149984
0,00738	2,2314	0,00738	1,61143	0,00738	-0,00236281
0,0074	2,22818	0,0074	1,61417	0,0074	-0,00139715
0,00742	2,22914	0,00742	1,6161	0,00742	-0,00171903
0,00744	2,2314	0,00744	1,61867	0,00744	0,00117796
0,00746	2,23188	0,00746	1,62061	0,00746	-0,000753371
0,00748	2,23092	0,00748	1,62205	0,00748	0,00262645
0,0075	2,23365	0,0075	1,6235	0,0075	-0,00139715
0,00752	2,23558	0,00752	1,62431	0,00752	-0,00413319
0,00754	2,23156	0,00754	1,62576	0,00754	0,000373237
0,00756	2,23349	0,00756	1,62576	0,00756	-0,000431483
0,00758	2,22737	0,00758	1,62592	0,00758	-0,000109595
0,0076	2,21965	0,0076	1,62624	0,0076	-0,000431483
0,00762	2,2219	0,00762	1,62576	0,00762	0,000534181
0,00764	2,22061	0,00764	1,62527	0,00764	0,000534181
0,00766	2,21788	0,00766	1,62415	0,00766	-0,0012362
0,00768	2,2174	0,00768	1,6227	0,00768	0,00294834
0,0077	2,21128	0,0077	1,62189	0,0077	-0,000431483
0,00772	2,20822	0,00772	1,61996	0,00772	-0,000270539
0,00774	2,20114	0,00774	1,61819	0,00774	0,00616722
0,00776	2,20194	0,00776	1,61594	0,00776	0,00101701
0,00778	2,19406	0,00778	1,61368	0,00778	-0,000431483
0,0078	2,19229	0,0078	1,61111	0,0078	0,00117796
0,00782	2,18167	0,00782	1,60853	0,00782	-0,000753371
0,00784	2,177	0,00784	1,60499	0,00784	-0,000431483
0,00786	2,17136	0,00786	1,60129	0,00786	0,00149984
0,00788	2,16316	0,00788	1,59759	0,00788	0,00166079
0,0079	2,16026	0,0079	1,59421	0,0079	0,000373237
0,00792	2,14722	0,00792	1,58938	0,00792	0,000212293
0,00794	2,13966	0,00794	1,58504	0,00794	0,000212293
0,00796	2,13016	0,00796	1,58053	0,00796	-0,00171903
0,00798	2,12566	0,00798	1,57538	0,00798	0,00407495
0,008	2,1123	0,008	1,57007	0,008	0,00117796
0,00802	2,10264	0,00802	1,56476	0,00802	0,00327023
0,00804	2,09669	0,00804	1,55896	0,00804	0,00407495
0,00806	2,08365	0,00806	1,55285	0,00806	0,000856069
0,00808	2,07608	0,00808	1,54641	0,00808	0,0053625
0,0081	2,06868	0,0081	1,54029	0,0081	0,00101701
0,00812	2,05597	0,00812	1,53337	0,00812	0,000534181
0,00814	2,0484	0,00814	1,52677	0,00814	-0,000270539
0,00816	2,03166	0,00816	1,51969	0,00816	0,00600627
0,00818	2,02587	0,00818	1,51229	0,00818	0,00182173
0,0082	2,01331	0,0082	1,5044	0,0082	0,00262645
0,00822	1,99625	0,00822	1,49668	0,00822	0,00343117
0,00824	1,98467	0,00824	1,48815	0,00824	0,00809855
0,00826	1,97243	0,00826	1,47978	0,00826	0,00117796
0,00828	1,95731	0,00828	1,47141	0,00828	0,00198268
0,0083	1,94314	0,0083	1,46272	0,0083	0,0013389
